"","created_at","screen_name","text"
"46",2019-09-03 03:25:28,"ADhalimah","Baca #kkndidesapenari masih ngga percaya kok ada ya orang yang bisa melakukan hubungan seksual di tempat2 kaya gitu. Manusia .."
"47",2019-09-03 02:53:27,"ADhalimah","#kkndidesapenari
[LOKASI KKN DI DESA PENARI]
.
.
[A THREAD] 

Buat lo yang blm baca cerita ini, gua saranin lo baca dari sudut pandang si Widya, abis itu si Nur. Baca dengan penghayatan gua saranin krn cerita ini menceritakan hg detilnya
 
Link versi Nur: https://t.co/ZkCT3Uxc2I https://t.co/5MOkLfDJxL"
"48",2019-09-03 03:25:20,"arie_nieh","Tukang cilok yang ditemuin Widya sama Anton terduga teroris!

#kkndidesapenari https://t.co/8mKKJ38WJN"
"49",2019-09-03 03:24:17,"vini7896","Yang lagi viral bukan hanya sekedar cerita horor banyak hikmah yang bisa dipetik. silakan lihat videonya
#kkndesapenari #kkndidesapenari #ceritahoror #ceritahorror #ceritakkndesapenari #kisahmistis #kisahmistisdesapenari

https://t.co/7IZCo63UIr"
"50",2019-09-03 03:24:07,"M_yannnnnnn","kkn desa penari
tak seseram
mantan yang masih menari dalam ingatan

#kkndesapenari #kkndidesapenari"
"51",2019-09-03 03:23:36,"etcatera","KKN Di Desa Penari

dari sudut pandang penjual cilok yang deket Pom Bensin

#kknpenari
#kkndidesapenari

-sebuah utas- https://t.co/zhywzKoV0J"
"52",2019-09-03 03:23:06,"chunkybars_","KKN Di Desa Penari

dari sudut pandang penjual cilok yang deket Pom Bensin

#kknpenari
#kkndidesapenari

-sebuah utas- https://t.co/zhywzKoV0J"
"53",2019-09-03 03:22:51,"ungaaaaaaaaa","KKN Di Desa Penari

dari sudut pandang penjual cilok yang deket Pom Bensin

#kknpenari
#kkndidesapenari

-sebuah utas- https://t.co/zhywzKoV0J"
"54",2019-09-03 03:22:46,"tuanharapan","KKN Di Desa Penari

dari sudut pandang penjual cilok yang deket Pom Bensin

#kknpenari
#kkndidesapenari

-sebuah utas- https://t.co/zhywzKoV0J"
"55",2019-09-03 03:22:22,"eselvi__","Ayu dan Bima kecyduk nur <U+0001F602>
#kkndidesapenari #kkndesapenari https://t.co/IN9uuMBLrC"
"56",2019-09-03 03:21:55,"motormanual","Tukang cilok yang ditemuin Widya sama Anton terduga teroris!

#kkndidesapenari https://t.co/8mKKJ38WJN"
"57",2019-09-03 03:19:17,"rahmatsubrata","Dimanapun KKN nya, GT Man kolornya <U+0001F44D><U+0001F3FD>

#GTManforKKN #kkndesapenari #kkndidesapenari https://t.co/dokPSKR6lQ"
"58",2019-09-03 03:15:23,"Mhd_Aqmal01","Kalou jodoh ku bkan sesama plat LAW. 
JA , PAI , WC , MA , ZA , SK , NE . Boleh juga <U+0001F606>

#acehplat
#kkndidesapenari
#bacotsantuy"
"59",2019-09-03 03:12:45,"stunninbaeee","Biar pada tidur nyenyak. Segera di bulan September ini! <U+0001F4A5> Cc: @SimpleM81378523 
#kkndidesapenari https://t.co/q6w9tZzKwI"
"60",2019-09-03 03:12:32,"Ethopiazet","Oke, sudah di tangan. Siap? #kkndidesapenari https://t.co/WsBIuQy7lE"
"61",2019-09-03 03:12:15,"annisads_bila","KKN DI DESA PENARI (VERSI KEPALA MONYET)

                  - A THREAD - 
#kkndidesapenari"
"62",2019-09-03 03:09:58,"ezapratiwii","KKN (Keluarganya Kaga Ngerestuin) 
#kkndesapenari #kkndidesapenari #bacotsantuy"
"63",2019-09-03 03:09:58,"fadmachine","ok its enough make my day #kkndidesapenari #kkndesapenari https://t.co/UBMgdz67y7"
"64",2019-09-03 03:09:51,"aqua2520","Hidup seperti Larry <U+274C>
Hidup seperti Wahyu <U+2705>

#kkndidesapenari https://t.co/9sGTps4KY2"
"65",2019-09-03 03:09:11,"awndhr","Oke, sudah di tangan. Siap? #kkndidesapenari https://t.co/WsBIuQy7lE"
"66",2019-09-03 03:09:03,"Avicennakeval","Tukang cilok yang ditemuin Widya sama Anton terduga teroris!

#kkndidesapenari https://t.co/8mKKJ38WJN"
"67",2019-09-03 03:08:51,"ddoughtnut","KKN DI DESA PENARI (VERSI KEPALA MONYET)

                  - A THREAD - 
#kkndidesapenari"
"68",2019-09-03 03:08:02,"ybbor20","Tukang cilok yang ditemuin Widya sama Anton terduga teroris!

#kkndidesapenari https://t.co/8mKKJ38WJN"
"69",2019-09-03 03:06:28,"Nugroho2797","eh padahal bagus tadi kalo tadi uploand foto bedua sama temen cewe captionnya ""bukan bima dan ayu"".

#kkndidesapenari"
"70",2019-09-03 03:06:08,"hildandreanders","#kkndidesapenari 
compilation https://t.co/BeSlPH5MNh"
"71",2019-09-03 03:04:22,"fathur13781574","Aku saat ini di Twitter...

#kkndidesapenari https://t.co/dvd8c11rF0"
"72",2019-09-03 03:02:47,"Mhmdrehan4","#cantikbanget sindirannya...
#kkndidesapenari 
#kkndesapenari 
#kknpenari 
#PenumpangGelap https://t.co/ascv79N98Q"
"73",2019-09-03 03:00:25,"AinunNajib_16","Anjir, adanya di kediri doang ini
#kkndidesapenari https://t.co/EOBBV9aiyI"
"74",2019-09-03 03:00:22,"DimasRiendra","KKN Di Desa Penari

dari sudut pandang penjual cilok yang deket Pom Bensin

#kknpenari
#kkndidesapenari

-sebuah utas- https://t.co/zhywzKoV0J"
"75",2019-09-03 02:59:55,"adityatama","Tukang cilok yang ditemuin Widya sama Anton terduga teroris!

#kkndidesapenari https://t.co/8mKKJ38WJN"
"76",2019-09-03 02:58:48,"n1thatha","Akhirnya ada yg menjelaskan faktanya
Btw, ada yg berani kesana?
#kkndidesapenari https://t.co/ZDyM9CSio6"
